902,1,9.33,0.2,8.371,2
902,1,10.4,0.5,8.904,2
902,1,7.79,0.8,0.76,2
902,0,-2,1,-12,2
902,0,-0.03,0.8,-7.06,2
902,0,1.28,0.5,-0.216,2
902,1,9.97,0.2,9.011,2
902,0,9.62,0.5,8.124,2
902,1,8.15,0.8,1.12,2
902,1,7.82,0.2,6.861,2
902,0,-0.2,1,-10.2,2
902,0,-0.8,0.8,-7.83,2
902,0,0.6,0.2,-0.359,2
902,0,1.27,0.5,-0.226,2
902,1,9.25,0.2,8.291,2
902,1,10.24,0.2,9.281,2
902,0,8.13,1,-1.87,2
902,1,7.98,0.5,6.484,2
902,1,7.25,0.2,6.291,2
902,0,-1.35,0.8,-8.38,2
902,0,-0.85,1,-10.85,2
902,0,0.52,0.2,-0.439,2
902,0,0.95,0.5,-0.546,2
902,0,10.75,1,0.75,2
902,1,10.15,0.8,3.12,2
902,1,9.89,0.2,8.931,2
902,1,7.4,1,-2.6,2
902,1,7.19,0.2,6.231,2
902,0,-0.22,0.8,-7.25,2
902,0,-0.44,1,-10.44,2
902,1,1.69,0.2,0.731,2
902,1,9.8,0.5,8.304,2
902,1,10.1,0.5,8.604,2
902,1,10.25,0.8,3.22,2
902,1,8.15,0.2,7.191,2
902,1,7.05,0.5,5.554,2
902,0,-1.15,0.8,-8.18,2
902,0,-1.3,1,-11.3,2
902,1,1.75,0.5,0.254,2
902,0,0.89,0.2,-0.069,2
902,1,9.05,0.5,7.554,2
902,1,9.97,0.2,9.011,2
902,1,8.29,0.5,6.794,2
902,1,7.96,0.8,0.93,2
902,0,-1.55,1,-11.55,2
902,0,-0.52,0.8,-7.55,2
902,1,0.92,0.2,-0.039,2
902,1,9.78,0.5,8.284,2
902,1,10.16,0.8,3.13,2
902,1,7.34,0.5,5.844,2
902,0,8.08,1,-1.92,2
902,0,-1.46,0.8,-8.49,2
902,0,-0.01,0.5,-1.506,2
902,0,0.92,0.5,-0.576,2
902,0,1.46,1,-8.54,2
902,0,0.85,0.5,-0.646,2
902,1,10.22,0.5,8.724,2
902,1,9.48,0.2,8.521,2
902,0,7.92,1,-2.08,2
902,1,8.12,0.8,1.09,2
902,0,-1.67,0.8,-8.7,2
902,0,0.84,0.2,-0.119,2
902,1,1.74,0.5,0.244,2
902,1,9.66,0.5,8.164,2
